user_account,days_over_50_tweets,days_hour_ge_6_tweets,total_days_over_limit
Captain Pepe 🐸 (0x69),0,20,20
CaptainMissMini,0,1,1
Cara_TXZEAL,2,11,13
Carl,0,2,2
Carlos62774150,0,1,1
Carlos_crypto06,0,3,3
CarolanReef,0,1,1
Cash_Lam1,4,7,11
CatalystVoiceo1,0,2,2
Catinbread_Kudo,0,1,1
CauzDnb,0,1,1
Cazdon_FaQ,0,1,1
CbiMul,2,2,4
CdmxCiudad,0,1,1
CecyBarretoRoja,0,2,2
Celavie90,0,1,1
Cesar10147691,0,1,1
Chadpeepe,0,3,3
ChainPrime,0,1,1
ChainerLover,0,2,2
Champ,0,1,1
Chand1ercharts,0,1,1
Chandler⚡️,0,1,1
Chapo45889236El,0,2,2
Charlotte_muott,2,9,11
Chase111999,0,1,1
ChazFlannel,0,1,1
Chefofmemes,0,1,1
ChickenLuver777,0,1,1
Chidexs,0,1,1
Chlo27e,0,3,3
Chloe_Tallman7,0,1,1
ChoiceHotels,0,1,1
ChrIs_lgtech,0,4,4
Chris418744,0,1,1
ChrisBank1_10,0,1,1
ChrisGo22084152,0,1,1
Christian Daiz,0,1,1
ChristoLiber,0,2,2
Chuck McKinley,0,1,1
ChunkStuff23,0,2,2
CimbommCi,0,1,1
CindyBublik,0,1,1
Cl0akzz,0,1,1
ClaimedByLight,0,3,3
ClapemJay,0,1,1
Climax1881485,0,1,1
ClumsyClaraInu,0,5,5
Coceadowss,1,6,7
CoinCommander__,0,1,1
ColeA_ntonia28,0,3,3
CollinsLig72408,0,8,8
Comic Bytez,0,1,1
ComradePepe_,0,2,2
Conserve2MAGA,0,5,5
Copped_,0,1,1
CorX2025,0,46,46
Corecuties,0,1,1
Corleone,0,1,1
CraIg_lIa1,0,1,1
Craaazy_D,0,2,2
CrabyCTOx,0,1,1
CraigMax3,0,1,1
Crankzzzzzz,0,1,1
CredBuzzAI,0,1,1
Criddalz_,0,1,1
CriptoSeba89,0,1,1
CristianNord,0,1,1
Crisy_kiku,0,1,1
Crtommy95,0,2,2
Cruz_davis136,1,1,2
Cry_ptosurff,1,10,11
CryptKeeper_06,0,1,1
CryptedSoap,0,1,1
Crypto,0,1,1
Crypto Marketer📈,4,16,20
Crypto Marketing,0,1,1
Crypto Nuclear,0,7,7
Crypto Pumps & Dumps,0,2,2
Crypto Signals Hub,0,1,1
Crypto Trader📈,1,9,10
Crypto is Amazing 2025,0,1,1
Crypto-Johnson,3,19,22
Crypto-Trading📊,0,4,4
Crypto82690824,0,1,1
Crypto912945,0,3,3
CryptoA80512,10,20,30
CryptoAlexLive,0,1,1
CryptoAndGirls,0,2,2
CryptoB32096813,0,3,3
CryptoBSamurai,0,1,1
CryptoBenjaam,0,4,4
CryptoCowboi214,0,3,3
CryptoDon91,0,1,1
CryptoError,0,1,1
CryptoErrorCoin,0,6,6
CryptoGawd11,0,1,1
CryptoGoldiee,0,1,1
CryptoI10257503,0,1,1
CryptoJeff96,0,1,1
CryptoOlivia147,0,4,4
CryptoPinoyGem,0,2,2
CryptoPridictr,0,1,1
CryptoTokenHub,0,1,1
CryptoTown30,0,1,1
CryptoTradingSc,0,2,2
CryptoYeezuuss,0,1,1
CryptoZeusYT,0,2,2
Crypto_CuCu,0,3,3
Crypto_Degen,0,1,1
Crypto_Girl,0,1,1
Cryptobozz97,0,2,2
Cryptocrizp,0,1,1
Cryptogeorge_2,0,4,4
Cryptokittysesh,0,1,1
Cryptomans32391,0,1,1
Cryptopandaah,0,1,1
Cryptoscot79253,0,1,1
Cryptoshi_Calls,0,3,3
Cryptui0x,0,2,2
Cryptzzy,0,2,2
Cryptzzyy,1,2,3
Crytotrade014,0,1,1
Ctraderx20s,0,1,1
Cupseyy_frntrn,0,4,4
CzechRep3,0,1,1
DARK DUSTER,0,1,1
DARKSWIPE02 ON TELEGRAM,0,1,1
DGtradeer,0,1,1
DHartadrew,0,1,1
DJM09068876,0,1,1
DJ_Pepe_Anon,0,1,1
DLCrypto1,0,2,2
DLonnex,0,2,2
DNishad21415,0,1,1
DOGEWIFEONSOL,0,1,1
DOSHEPE,0,1,1
DSantangeletta,0,1,1
D_Y_S_21,0,9,9
DaMasterBader,0,1,1
Dagoberto LauritoFx SIGNALS,0,1,1
Dagoberto offiziell,0,1,1
DairyBee362064,0,1,1
Dairycryptos,0,1,1
DamianCleary,0,1,1
Dan_crypt⭕️|₿|,0,1,1
DanielCalc31563,0,1,1
DanielPradofx0,0,4,4
Daniel_U18470,0,2,2
Daniel_br00k,0,3,3
DareMeRoV,0,4,4
Darkskinbardie,0,2,2
Darrel_Martin1,0,1,1
Darrell Martin,0,3,3
DasaelR,0,1,1
Datafirst11,0,1,1
David Crimson,0,1,1
David Gokhshtein,0,1,1
David_kratzer2,0,15,15
DavisSophi8773,0,1,1
DeCryptMan,0,1,1
DeFAI_Agent,1,1,2
DebleenaSarka10,0,1,1
DeboObed2,0,1,1
Dedomatic,0,1,1
DeeGaige48022,0,1,1
DeenCrypt01,0,1,1
DegenYassine,0,1,1
DelitaHabbo,0,2,2
Denies208,0,6,6
DenisLudwig5,0,1,1
DerechaPepe,0,1,1
Dereck1549,0,2,2
DerickRaph3708,0,1,1
Desi_Pepe_,0,1,1
DiBRADO,0,1,1
Dialo042,0,1,1
DianneGolden12,0,1,1
DiddyDamn69,0,1,1
DigitalMar81780,0,5,5
Dimitryjansen,0,1,1
Dimmn82,0,1,1
