user_account,days_over_50_tweets,days_hour_ge_6_tweets,total_days_over_limit
Russell71547413,0,1,1
Rutvik4c,0,1,1
Ryan Martin,0,1,1
SAG3.ai,0,1,1
SAGARPACIFIC,0,1,1
SKYWatcher,0,3,3
SMBlockchainBRO,0,1,1
SMike10,1,7,8
SOPHIA_D0NNA,0,1,1
SRTMETAX,0,1,1
STEVE BENSON,0,2,2
SUHAYB_BTC,0,2,2
Saad_Jamil_B,0,1,1
Sabra Margalin,0,1,1
Sajib Hasan Jihad,1,1,2
Salvia Ortega,0,1,1
Samantha,0,1,1
Sanctus_crypto,0,1,1
Sandra B. McKeown,0,2,2
Sandral_le,0,1,1
Sar746980041,0,1,1
Sara Nguyen,0,1,1
SarkarShuvo5,0,1,1
SatoshiStormX,0,1,1
Savkar08,0,1,1
Schmunzel,0,1,1
ScriptUrSuccess,0,1,1
Sendria Kavin,0,1,1
SeoinZen,0,1,1
Serah Joel,0,1,1
Shaban,0,1,1
Shadow36Rugs,0,1,1
Shahzad Naseer,0,1,1
Sham_Gawd_,0,1,1
Shib_Army90,0,1,1
Shieldmetax,0,1,1
Shigeo808,0,1,1
Shogun Saski,0,1,1
ShopRnc,0,1,1
ShyMuslimGirl,0,1,1
SimonS559,0,1,1
Simonwarick438,0,1,1
SirCaseyOfDelco,0,1,1
Skoufoxy_,0,1,1
Skynet_insights,0,1,1
SmCrypto_bro,0,1,1
SmallCapBob2,0,1,1
Smithjeffersson,0,1,1
Smokeed_sauce,0,1,1
Sneakers1012,0,1,1
So-called Dave,0,1,1
Solana Phoenix,0,2,2
Solana Whale Alerts,0,1,1
Solarhash_UNVRS,0,1,1
SolidCryptoX,0,1,1
Sophia Davis,0,1,1
Souleyman Tapsoba,0,1,1
SpeederT63207,0,1,1
SpiderCrypto0x,0,1,1
SportsOnPLS,0,1,1
SpotCoinTrading,0,3,3
Sr Peters,0,1,1
Stacy901091,0,1,1
Staite,0,1,1
Star_Galie,0,1,1
Startup_Savvy 📊,0,1,1
SteveT1997,0,1,1
Steven Gilland,0,1,1
StocksTwon14605,0,1,1
StrausserChris,0,1,1
StubbBrian,0,1,1
Super_Degen1,0,1,1
Surfingtrumpcoin - SOLANA $STC,0,1,1
Susie Bradford🪷,0,1,1
SwampFox,0,1,1
SwansonTrading,0,1,1
SwissGenevaBit,0,5,5
Synapse,0,1,1
T0mmyDeFi,0,1,1
T@@$h!,0,7,7
TBucksSolana,0,1,1
TGproCrypto,0,1,1
THADDEUSKAL,0,1,1
THEFAXSPITTA,0,1,1
THEQUEENSANJUAN,0,3,3
THERANDO__GUY,0,1,1
THP,0,1,1
THΞGABO🍌,1,6,7
TOTORO,0,1,1
TRADER ALEX ⭐️,0,1,1
TRMP Universe 🇺🇲 🦅,0,1,1
TRUMP COIN,0,1,1
TRUMP COIN ✴️,0,2,2
TSalvestroni,0,1,1
Take Profit Trader!,0,1,1
Taofeek2_QBX,0,2,2
TapCat_,0,1,1
Taylor,0,1,1
Taylorj0402,1,19,20
TechLeviathan,0,1,1
TejasPanchall,0,1,1
TerriMccarter4,2,2,4
TerryDavis,0,1,1
TgProze,0,2,2
The Crypto Fool,0,1,1
The King MeMidas,0,2,2
The SIGMA Trader,0,1,1
The Tradesman,0,9,9
TheBoyDen1,0,1,1
TheCoinFlippers,0,1,1
TheCryptoCab,0,1,1
TheIdentifies,1,1,2
TheKingMeMidas,0,6,6
TheKittleTeam,0,1,1
Theo,0,1,1
Thereal_Kolimba,0,1,1
Thibi,3,20,23
This is tom ☣️ (The dog of wall street),0,1,1
ThomasTheCryptoEngine,0,3,3
TimmyFiveTimes,0,1,1
ToTheMoon0008 ✨,0,1,1
Toell Nemesis,0,1,1
Tom Thomas,0,1,1
Tonmoy Panja,0,2,2
TopStockTips1,0,1,1
Top_promotion07,0,4,4
TradGPRO,1,4,5
TradeAnalyst963,0,1,1
TradeExpert485,0,1,1
Trader palash,0,1,1
Trader6T,0,1,1
Trades75699329,0,1,1
Trading GPro,36,39,75
TradingGpro,1,4,5
TradingMate,0,1,1
TrashPandaTv,0,1,1
TrenchXBT,0,1,1
TrendIsYourFrnd,1,2,3
TrillionarieMan,0,1,1
TrippIvey,0,2,2
Trump Chef,0,1,1
Trump Coin,0,2,2
Trump Support,0,1,1
Trump is retarded 2025,0,2,2
TrumpSucksCoin,0,7,7
Trumpchain,0,1,1
Trumpcoin,0,1,1
Trumpcoin___sol,0,1,1
TrumpyChocs,0,1,1
Tuba Ximun,0,3,3
Tuberoot,0,1,1
Tundra Cotton,0,1,1
TwilightCougar1,0,1,1
TylerSCrypto,0,1,1
Tyson J. Bernard,0,1,1
Tyson__Ben,0,1,1
Türk Oğlan 🇦🇿🇹🇷,0,2,2
UAP Czar Official Trump (Parody),0,8,8
UncoloredCrypto,0,1,1
UniqueBeing404,0,1,1
UniqueSmau,0,1,1
VICTORCRYPRT,0,1,1
Vanna Chenda,0,2,2
VdeGunzburg,0,1,1
VectRast Crypto,0,2,2
Veekaysssss,0,1,1
VerseUltra,0,1,1
VerticalDegen,0,1,1
VipRoseTr,0,1,1
Vivi DB,0,1,1
VladTheImpaIe,0,1,1
WALTER 🕸️ ™,0,1,1
WLife989889929,0,1,1
WRF240B,0,1,1
WaffenAutism,0,1,1
Walletxofficial,0,2,2
WarishK18714791,0,1,1
WeRCelestial,0,3,3
Web3Bugsie,0,1,1
Weiping92081911,0,1,1
Whale Radar,2,3,5
Whale Signals 🐳,27,38,65
Whale Watch Perps,0,2,2
Whale Watch by Moby,0,5,5
WhaleSpotting1,0,1,1
WhaleXBT,4,16,20
WhatupmyDog_BTC,0,1,1
WhispererWhale,0,1,1
WhiteRob713,0,1,1
William17171717,0,1,1
Williams96537,0,4,4
Winfree Steele,0,1,1
WisPoliticsGal,1,2,3
Woofmetax,0,1,1
WordsmithCrypto,0,1,1
Wreckmoney,0,1,1
XDeg3n,0,1,1
XRP Maxi,0,1,1
XTradesNexus,0,2,2
XYOPepe,0,3,3
YBmetaX,1,1,2
YazanXBT,0,1,1
YouLeYou1,0,1,1
Young Sauce Bucket,0,1,1
Yousstone766,0,1,1
Yukonjack351,0,1,1
ZUPRMARIO,0,1,1
Zach1740,0,1,1
Zee___Zee,0,1,1
ZeroBlocks_sol,0,1,1
Zhade,0,2,2
Zig🐐,0,1,1
Zofu Finance,0,2,2
ZoneCrypto,0,14,14
Zubedo,0,1,1
_BearGod,0,1,1
_CryptoPool_,0,1,1
_DEGECOIN,0,1,1
_Dayotafiq,0,1,1
_King39,0,1,1
_ZoneCrypto_,0,16,16
_georgebetz,0,1,1
_imagyn,0,1,1
_quantummint,0,1,1
aale_xander,0,3,3
adonisvill80290,0,1,1
adramelech1819,0,1,1
agentic_t,0,1,1
aggrmeme,0,1,1
agrahaparama,0,1,1
ai_PHILO,0,1,1
aikek_agent,0,1,1
aixbt,0,1,1
aixtn,0,3,3
akshayynft,0,1,1
akunix,0,1,1
alexisapearson,0,1,1
alhossin9097,0,1,1
allblackgat,0,1,1
aly369mo33n,0,1,1
amechi1635,0,1,1
amnandhakumar,0,1,1
andrew_robrt,1,4,5
andrino53447,1,2,3
andyrox88_2nd,0,1,1
annemarie_538,0,1,1
anonMiyagi,0,1,1
anthonymogilin,0,1,1
arya_rishab9598,0,1,1
asb prez,0,1,1
aswintresna1,0,1,1
ausgod_eth,0,1,1
auwal_husna,0,1,1
bankrbot,0,1,1
batra_animesh,0,4,4
beardedkage,0,1,1
beenstoned,1,1,2
berniem83236992,0,2,2
bethel_jarian,0,1,1
