coin,date,label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58
DOGE,2016-02-21,1,-4.871596770399957e-06,-0.016931664619637375,-2.537818974200027e-06,-0.008743294397638445,1.9084390551600008e-05,0.07037678767325187,-1.7960578022999823e-06,-0.006579675788921723,-1.0830616175299995e-05,-0.03816268917309562,1.2912880376295798e-06,1.2387744986480104e-06,5.251353898156942e-08,7.211182119591376e-08,50.87165900910661,2.0,0.0,0.0,0.002890173410404624,0.0,0.0,0.0,0.0,0.005780346820809248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002890173410404624,0.10404624277456648,0.0,0.0,0.0,0.0,0.0,0.0,0.07514450867052024,0.031791907514450865,0.6271676300578035,0.07803468208092486,0.03468208092485549,0.028901734104046242,0.0,0.0,0.0,0.0,0.008670520231213872,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOGE,2016-02-22,2,-3.834191166800032e-06,-0.013555588545488098,-4.871596770399957e-06,-0.016931664619637375,-2.537818974200027e-06,-0.008743294397638445,1.9084390551600008e-05,0.07037678767325187,-1.7960578022999823e-06,-0.006579675788921723,1.2882303448620572e-06,1.2411921679808008e-06,4.703817688125639e-08,6.70970923329823e-08,48.912596209506304,2.0,0.0,0.0,0.004020100502512563,0.0,0.0,0.0,0.0,0.003015075376884422,0.0,0.0,0.0,0.0,0.0,0.0,0.0020100502512562816,0.0,0.0,0.0010050251256281408,0.0864321608040201,0.0,0.0,0.0,0.0,0.0010050251256281408,0.0,0.09849246231155778,0.033165829145728645,0.7125628140703517,0.03015075376884422,0.018090452261306532,0.008040201005025126,0.0,0.0,0.0,0.0,0.0010050251256281408,0.0,0.0,0.0010050251256281408,0.0,0.0,0.0,0.0
DOGE,2016-02-23,2,-2.638605570500006e-06,-0.009456849424250367,-3.834191166800032e-06,-0.013555588545488098,-4.871596770399957e-06,-0.016931664619637375,-2.537818974200027e-06,-0.008743294397638445,1.9084390551600008e-05,0.07037678767325187,1.2837932876549803e-06,1.2425401165019308e-06,4.125317115304953e-08,6.192830809699574e-08,43.830765658569184,4.0,0.0019011406844106464,0.0,0.0019011406844106464,0.0,0.0,0.0,0.0,0.005703422053231939,0.0,0.0,0.0,0.0,0.0,0.0,0.0009505703422053232,0.0,0.0,0.0028517110266159697,0.09315589353612168,0.0,0.0,0.0,0.0,0.0,0.0,0.08650190114068441,0.019961977186311788,0.7347908745247148,0.026615969581749048,0.019011406844106463,0.004752851711026616,0.0019011406844106464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOGE,2016-02-24,1,-2.3262631647999877e-06,-0.00841700225959996,-2.638605570500006e-06,-0.009456849424250367,-3.834191166800032e-06,-0.013555588545488098,-4.871596770399957e-06,-0.016931664619637375,-2.537818974200027e-06,-0.008743294397638445,1.2784080417043625e-06,1.2430030107592667e-06,3.54050309450958e-08,5.6623652666615756e-08,41.584764735156405,4.0,0.0,0.0,0.0031282586027111575,0.0,0.0,0.0,0.0,0.0020855057351407717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010427528675703858,0.10531803962460896,0.0,0.0,0.0,0.0,0.0,0.0,0.07507820646506778,0.03858185610010428,0.7184567257559958,0.03441084462982273,0.016684045881126174,0.0031282586027111575,0.0010427528675703858,0.0,0.0,0.0,0.0,0.0010427528675703858,0.0,0.0,0.0,0.0,0.0,0.0
DOGE,2016-02-25,1,-1.0024983207599996e-05,-0.0365807985838979,-2.3262631647999877e-06,-0.00841700225959996,-2.638605570500006e-06,-0.009456849424250367,-3.834191166800032e-06,-0.013555588545488098,-4.871596770399957e-06,-0.016931664619637375,1.266823340392966e-06,1.2400477864941568e-06,2.6775553898809154e-08,5.0654032913054436e-08,41.29991930626427,4.0,0.000859106529209622,0.0,0.011168384879725086,0.001718213058419244,0.0,0.0,0.0,0.000859106529209622,0.0,0.0,0.0,0.0,0.0,0.0,0.001718213058419244,0.0,0.0,0.001718213058419244,0.08676975945017182,0.0,0.0,0.0,0.0,0.0,0.0,0.09278350515463918,0.040378006872852236,0.7087628865979382,0.03006872852233677,0.01804123711340206,0.003436426116838488,0.0,0.0,0.0,0.0,0.001718213058419244,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOGE,2016-02-26,1,-6.204215894599992e-06,-0.023498553682081643,-1.0024983207599996e-05,-0.0365807985838979,-2.3262631647999877e-06,-0.00841700225959996,-2.638605570500006e-06,-0.009456849424250367,-3.834191166800032e-06,-0.013555588545488098,1.2526714722404264e-06,1.2352172984132162e-06,1.745417382721019e-08,4.401406109588559e-08,27.526029666125083,4.0,0.0,0.0,0.010195412064570943,0.0,0.0,0.0,0.0,0.0016992353440951572,0.0,0.0,0.0,0.0,0.0,0.0,0.004248088360237893,0.0,0.0,0.00594732370433305,0.09685641461342395,0.0,0.0,0.0,0.0,0.0,0.0,0.08666100254885302,0.028037383177570093,0.7060322854715378,0.03058623619371283,0.026338147833474938,0.002548853016142736,0.0,0.0,0.0,0.0,0.0008496176720475786,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOGE,2016-02-27,2,-3.988965502099999e-06,-0.015471827694011517,-6.204215894599992e-06,-0.023498553682081643,-1.0024983207599996e-05,-0.0365807985838979,-2.3262631647999877e-06,-0.00841700225959996,-2.638605570500006e-06,-0.009456849424250367,1.2379003740782956e-06,1.2293981899519836e-06,8.502184126311973e-09,3.691168570197087e-08,28.216843794298157,2.0,0.0,0.0,0.005970149253731343,0.0029850746268656717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06567164179104477,0.0,0.0,0.0,0.0,0.0,0.0,0.08358208955223881,0.020895522388059702,0.6835820895522388,0.08955223880597014,0.029850746268656716,0.011940298507462687,0.0029850746268656717,0.0,0.0,0.0,0.0029850746268656717,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOGE,2016-03-02,2,-5.4431664717e-06,-0.02203708656066395,-1.2823708530999844e-06,-0.0051649636704332175,-4.388638086900022e-06,-0.01736896252719935,-1.1609698225999903e-06,-0.0045737679075576595,-3.988965502099999e-06,-0.015471827694011517,1.1823686044076976e-06,1.2019289107648575e-06,-1.956030635715991e-08,8.419389961934299e-09,27.42710243494453,4.0,0.0020325203252032522,0.0,0.0020325203252032522,0.0,0.0,0.0,0.0,0.006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0040650406504065045,0.0,0.0,0.003048780487804878,0.08638211382113821,0.0,0.0,0.0,0.0,0.0,0.0,0.08638211382113821,0.021341463414634148,0.7408536585365854,0.026422764227642278,0.021341463414634148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOGE,2016-03-06,3,-8.5265823610001e-07,-0.003881716559059978,-1.656472578019999e-05,-0.07012271437626312,-5.278984183100006e-06,-0.021858803172893574,-5.330291830000274e-08,-0.00022066383520720777,-5.4431664717e-06,-0.02203708656066395,1.1109401751165464e-06,1.1590327518430559e-06,-4.809257672650945e-08,-1.902247720025918e-08,0.0,2.0,0.0,0.0,0.0031746031746031746,0.0,0.0,0.0,0.0,0.006349206349206349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09206349206349207,0.0,0.0,0.0,0.0,0.0,0.0,0.05714285714285714,0.01904761904761905,0.6761904761904762,0.07936507936507936,0.06031746031746032,0.0031746031746031746,0.0,0.0,0.0,0.0,0.0031746031746031746,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOGE,2016-03-07,1,9.795627867499986e-06,0.044768257973365026,-8.5265823610001e-07,-0.003881716559059978,-1.656472578019999e-05,-0.07012271437626312,-5.278984183100006e-06,-0.021858803172893574,-5.330291830000274e-08,-0.00022066383520720777,1.100287119652784e-06,1.1503410898252065e-06,-5.0053970172422506e-08,-2.5228775794691845e-08,13.993058929436884,4.0,0.003755868544600939,0.0,0.003755868544600939,0.0,0.0,0.0,0.0,0.0,0.0,0.0009389671361502347,0.0,0.0,0.0,0.0,0.0028169014084507044,0.0,0.0,0.0009389671361502347,0.08169014084507042,0.0,0.0,0.0,0.0,0.0,0.0,0.07042253521126761,0.027230046948356807,0.7586854460093897,0.028169014084507043,0.016901408450704224,0.0009389671361502347,0.0,0.0,0.0,0.0,0.0,0.003755868544600939,0.0,0.0,0.0,0.0,0.0,0.0
